"shop_id","type","title","avg_basket","total_ordered","num_orders","Latitude","Longitude","first_order_date"
588,Informel,Fanta Allocodrome mermoz,2605.0,26050.0,10,"5.3381036",-3.9997343,"2024-05-23"
589,Informel,Tata Axelle,3055.0,33600.0,11,"5.3380933",-3.9997226,"2024-05-21"
592,Formel,La Joliette,7454.0,44725.0,6,"5.348997",-3.9799467,"2024-06-21"
594,Informel,Franceline Allocodrome Cocody,8673.0,277550.0,32,"5.3381271",-3.9996745,"2024-05-21"
595,Informel,Mireille allocodrome,6529.0,274200.0,42,"5.3382174",-3.9995762,"2024-05-20"
602,Formel,Nemir Traiteur,10800.0,10800.0,1,null,null,"2024-07-01"
603,Informel,Ines Allocodrome cocody,4045.0,44500.0,11,"5.3379638",-3.9997801,"2024-09-06"
604,Informel,Mr Ibrahim Allocodrome,2200.0,2200.0,1,"5.3381636",-3.9998238,"2024-07-12"
605,Informel,Rachelle Allocodrome cocody,6287.0,257775.0,41,"5.3380055",-3.9997931,"2024-05-23"
606,Informel,Mme Ake,2803.0,42050.0,15,"5.3381149",-3.9997421,"2024-07-05"
607,Informel,M Sess Prospere,6086.0,42600.0,7,"5.3381497",-3.9997888,"2024-07-20"
609,Informel,Tall bleue marine,8629.0,181200.0,21,"5.3671251",-4.0083834,"2024-08-07"
610,Informel,Chez Agnes Bleue Marine,35500.0,35500.0,1,"5.3672193",-4.0082621,"2024-08-08"
613,Informel,Le Concensus,16768.0,385675.0,23,"5.359688",-3.9552907,"2024-05-21"
616,Informel,Marcelle Allocodrome,7800.0,85800.0,11,"5.33812",-3.9996715,"2024-06-06"
617,Informel,Mouna chips,3600.0,3600.0,1,null,null,"2024-06-10"
619,Formel,Di Napoli,39277.0,510600.0,13,"5.29535465736829",-3.9833751033433105,"2024-05-21"
620,Semi-Formel,La Source Culinaire,15160.0,75800.0,5,"5.3642518",-3.9546633,"2024-08-15"
621,Formel,Smoke House,52550.0,105100.0,2,"5.2841505",-3.9846087,"2024-05-27"
623,Formel,Ephrata Park,35533.0,390860.0,11,"5.3769473",-3.9281331,"2024-05-25"
625,Informel,Nathalie Cordon Mahou,16800.0,33600.0,2,"5.3995904",-3.9968060,"2024-09-17"
626,Formel,Pizzeria Casa Delice Mahou,10038.0,40150.0,4,"5.3996813",-3.9974448,"2024-09-04"
628,Informel,OIA Restaurant,14650.0,29300.0,2,"5.3994694",-3.9976869,"2024-08-20"
630,Formel,Ivotel,61376.0,7365178.0,120,"5.3242526",-4.0188359,"2024-05-20"
631,Formel,Zest Patisserie,56667.0,340000.0,6,"5.3452391",-4.0105986,"2024-05-22"
632,Formel,The Burgatory,25099.0,200790.0,8,"5.2865682",-3.9784645,"2024-06-05"
634,Formel,Maison Palmier,78096.0,11401957.5,146,"5.3771721",-3.9965377,"2024-05-20"
636,Formel,Beyti Zone 4,26879.0,376310.0,14,"5.2954907076675575",-3.982943714488255,"2024-08-31"
637,Formel,Comanche,61243.0,6369243.5,104,"5.400682787894455",-3.9778473745071796,"2024-05-22"
639,Formel,Beyti Angré,18230.0,674502.0,37,"5.398403280641207",-3.956531580147143,"2024-05-20"
640,Formel,Les Sept Tables,24656.0,2366965.0,96,"5.2864509",-3.9779513,"2024-05-23"
642,Formel,Kaiten,7150.0,21450.0,3,"5.292299363627621",-3.9817020199531266,"2024-05-31"
643,Formel,Five Abidjan,39252.0,1805577.5,46,"5.376340101730951",-3.990794396721189,"2024-05-24"
644,Formel,Villa Anakao,3735.0,14940.0,4,"5.37160914732623",-3.9859201610152595,"2024-06-11"
646,Formel,La Charlotte,25507.0,306086.0,12,"5.356043041811978",-3.9610271793991902,"2024-06-03"
647,Formel,Mediterraneo,33608.0,403300.0,12,"5.291249490849333",-3.9823210033433045,"2024-05-24"
648,Formel,LoLa Restaurant,21782.0,413860.0,19,"5.357199882483639",-3.967361880148335,"2024-05-20"
