"restaurantID","name","type","total_ordered","num_orders","longitude","latitude","first_order_date"
603,Ines Allocodrome cocody,Informel,9600.00,5,,,"2024-03-14"
604,Mr Ibrahim Allocodrome,Informel,5200.00,1,,,"2024-03-15"
605,Rachelle Allocodrome cocody,Informel,10300.00,5,,,"2024-03-15"
606,Mme Ake,Informel,15450.00,6,,,"2024-03-15"
607,M Sess Prospere,Informel,5200.00,1,,,"2024-03-15"
608,Chez flore Bleue Marine,Informel,800.00,1,,,"2024-03-18"
609,Tall bleue marine,Informel,1750.00,1,,,"2024-03-18"
610,Chez Agnes Bleue Marine,Informel,1600.00,1,,,"2024-03-18"
611,Rosaline Bleue Marine,Informel,1200.00,1,,,"2024-03-18"
612,Sandra Bleue Marine,Informel,800.00,1,,,"2024-03-18"
613,Le Concensus,Informel,224500.00,14,,,"2024-03-19"
614,Flore Bleue Marine,Informel,23500.00,1,,,"2024-03-18"
615,Zanzan Bleue Marine,Informel,7800.00,1,,,"2024-03-18"
616,Marcelle Allocodrome,Informel,1600.00,2,,,"2024-03-20"
617,Mouna chips,Informel,22100.00,4,,,"2024-03-20"
618,Street Food,Informel,7000.00,1,,,"2024-03-23"
619,La Source Culinaire,Semi-Formel,94600.00,6,-3.9546633,5.3642518,"2024-03-25"
620,Victorine,Informel,1200.00,1,,,"2024-03-26"
621,Moyé,Informel,1200.00,1,,,"2024-03-26"
622,Smoke House,Formel,626550.00,6,-3.9846087,5.2841505,"2024-03-26"
623,Mme Bessé,Informel,18150.00,2,,,"2024-03-26"
624,O'Bon Choix,Formel,68450.00,3,-3.9546398,5.3735915,"2024-03-26"
625,Ephrata Park,Formel,121350.00,4,-3.9281331,5.3769473,"2024-03-29"
626,Maquis le Diesel,Semi-Formel,2000.00,1,-3.9970942,5.3996811,"2024-03-30"
627,Nathalie Cordon Mahou,Informel,9600.00,2,-3.9968060,5.3995904,"2024-03-30"
628,Pizzeria Casa Delice Mahou,Semi-Formel,4350.00,1,-3.9974448,5.3996813,"2024-03-30"
629,Maquis Restau Le Diner Mahou,Semi-Formel,4450.00,1,-3.9969253,5.3998421,"2024-03-30"
630,Restaurant OIA,Informel,26000.00,2,-3.9976869,5.3994694,"2024-04-02"
631,Mme Yebou,Informel,27250.00,2,,,"2024-04-02"
632,Bada,Informel,117400.00,10,,,"2024-04-02"
633,Café Le Bleu,Formel,201450.00,9,-4.0027284,5.3258342,"2024-04-04"
634,Ivotel,Formel,2049850.00,32,-4.0188359,5.3242526,"2024-04-05"
635,Zest Patisserie ,Formel,263000.00,5,-4.0105986,5.3452391,"2024-04-03"
636,François choco,Semi-Formel,9600.00,1,,,"2024-04-07"
637,The Burgatory,Formel,163500.00,5,-3.9784645,5.2865682,"2024-04-05"
638,Le Saj,Formel,62500.00,1,-3.9846190,5.2841921,"2024-04-08"
639,Athur allocodrome,Informel,4100.00,2,,,"2024-04-15"
640,La Maison Palmier,Formel,4009950.00,38,-3.9965377,5.3771721,"2024-04-15"
641,Hollywood Angré,Formel,63000.00,4,,,"2024-04-17"
642,Beyti Zone 4,Formel,192000.00,6,,,"2024-04-17"
643,Comanche,Formel,1228125.00,12,,,"2024-04-17"
644,Boucherie Alrawad,Formel,26100.00,1,,,"2024-04-18"
645,Beyti Angré,Formel,130500.00,8,,,"2024-04-18"
646,Les sept tables,Formel,187000.00,9,,,"2024-04-19"
647,Les Ptits Futés,Formel,11000.00,1,,,"2024-04-19"
648,Keitan,Formel,9500.00,2,,,"2024-04-20"
649,Five Abidjan,Formel,3500.00,1,,,"2024-04-22"
650,Villa Anakao,Formel,2000.00,1,,,"2024-04-24"
651,La Cuisine de Mano,Informel,27900.00,4,,,"2024-04-24"
652,Petit Plaisir,Formel,4600.00,1,,,"2024-04-25"
653,Claclo de Babi,Semi-Formel,18000.00,1,,,"2024-04-27"
654,La Charlotte,Formel,80650.00,1,,,"2024-04-27"
655,Mediterraneo,Formel,71700.00,2,,,"2024-04-30"
656,Di Napoli,Formel,121700.00,3,,,"2024-04-30"
657,L'Addict,Formel,9400.00,1,,,"2024-04-30"
658,Abraham Carrefour Garage,Informel,53000.00,5,,,"2024-04-30"
659,Restau chez Miss N'goran,Informel,2000.00,1,,,"2024-05-02"
660,Rifat Zone 4,Formel,6000.00,1,,,"2024-05-03"
661,Employé / Druide,Informel,1800.00,2,,,"2024-05-04"
662,LoLa Restaurant,Formel,23850.00,1,,,"2024-05-06"
663,Le Josh Grill,Formel,27800.00,1,,,"2024-05-07"
664,Amora,Formel,292500.00,1,-3.9743251,5.2847585,"2024-05-11"
665,Tayba,Formel,60000.00,4,-3.9762473,5.2858623,"2024-05-10"
666,Alayache Poulet,Formel,19500.00,2,-3.9790605,5.2869979,"2024-05-11"
667,Maman Yoyo,Informel,7050.00,1,,,"2024-05-10"
668,La gare du nord,Formel,11350.00,2,,,"2024-05-10"
669,Les Gouters de Katié,Formel,13400.00,2,,,"2024-05-10"
670,Second Cup Coffee,Formel,24650.00,1,,,"2024-05-13"
671,ABD Beach,Formel,71600.00,1,-4.1942758,5.2259275,"2024-05-14"
672,Chez Rose Angré,Informel,3500.00,1,,,"2024-05-15"
673,LECHA,Formel,2000.00,1,,,"2024-05-15"
674,Employé / Affou,Informel,6425.00,2,,,"2024-05-16"
675,Adjoua Allocodrome,Informel,7500.00,2,,,"2024-05-16"
676,Chez Débora Angré,Informel,3500.00,1,,,"2024-05-17"
677,Glawdiss Allocodrome,Informel,9550.00,2,,,"2024-05-17"
678,Employé / Oscar,Informel,1800.00,3,,,"2024-05-18"
679,Josey Allocodrome,Informel,1000.00,1,,,"2024-05-18"
